name,price,property_type,bedrooms,bathrooms,sqm,year_built,features,city,governorate,address,description
New Garden City,"3,912,000 EGP","Residential, Apartment",1,0,89.0,2025,"['Gate Community', 'Natural Gas Available']",New Administrative Capital,Cairo,Building G722 Floor Ground floor Unit G722G6 New Garden City New Administrative Capital Cairo Cairo Egypt,"To live in a world, where you can see and sense the real ambience of the old Khedival Cairo, is a priceless notion that you aspire for. In New Garden City, surrounded by the acclaimed history.  Garden City Heights is made up of apartments only and we built each cluster with two basement floors, solely for parking. This, ideally, makes New Garden City elevated, offering stunning views. That is in addition to residential-only clusters that are high up from surrounding street levels, . Such designs provide the maximal magnitude of privacy and luxury. It is ideally built in one of the most prime locations it is in the first phase of The New Administrative Capital. It is located between the Middle Ring Road and the Regional Ring Road on the 90th road south from Ben Zayed Southern Axis, a few minutes away from the monorail project, making transportation easier to and more accessible."
AlMaqsad Park,"5,071,000 EGP","Residential, Apartment",3,0,156.0,2025,"['Other', 'Building Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MPE13 Floor 2 Unit MPE1323 AlMaqsad Park New Administrative Capital Cairo Cairo Egypt,"Carefully designed to maximize life within nature, AlMaqsad Parks provides unparalleled relaxation for those seeking added privacy amidst lush landscapes. With exceptional spaces to live in, expansive views of greenery, and inspiring amenities all around, discover your own tranquil home in the heart of The New Capital at AlMaqsad Parks."
New Garden City,"4,023,000 EGP","Residential, Apartment",1,0,89.0,2025,"['Gate Community', 'Natural Gas Available']",New Administrative Capital,Cairo,Building G722 Floor 2nd floor Unit G72226 New Garden City New Administrative Capital Cairo Cairo Egypt,"To live in a world, where you can see and sense the real ambience of the old Khedival Cairo, is a priceless notion that you aspire for. In New Garden City, surrounded by the acclaimed history.  Garden City Heights is made up of apartments only and we built each cluster with two basement floors, solely for parking. This, ideally, makes New Garden City elevated, offering stunning views. That is in addition to residential-only clusters that are high up from surrounding street levels, . Such designs provide the maximal magnitude of privacy and luxury. It is ideally built in one of the most prime locations it is in the first phase of The New Administrative Capital. It is located between the Middle Ring Road and the Regional Ring Road on the 90th road south from Ben Zayed Southern Axis, a few minutes away from the monorail project, making transportation easier to and more accessible."
PODIA,"7,090,000 EGP","Commercial, Office",0,0,58.0,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor 13th Unit MPO-1330 Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
New Garden City,"8,839,000 EGP","Residential, Apartment",3,0,211.0,2025,"['Gate Community', 'Natural Gas Available']",New Administrative Capital,Cairo,Building G722 Floor 4th floor Unit G722411 New Garden City New Administrative Capital Cairo Cairo Egypt,"To live in a world, where you can see and sense the real ambience of the old Khedival Cairo, is a priceless notion that you aspire for. In New Garden City, surrounded by the acclaimed history.  Garden City Heights is made up of apartments only and we built each cluster with two basement floors, solely for parking. This, ideally, makes New Garden City elevated, offering stunning views. That is in addition to residential-only clusters that are high up from surrounding street levels, . Such designs provide the maximal magnitude of privacy and luxury. It is ideally built in one of the most prime locations it is in the first phase of The New Administrative Capital. It is located between the Middle Ring Road and the Regional Ring Road on the 90th road south from Ben Zayed Southern Axis, a few minutes away from the monorail project, making transportation easier to and more accessible."
Mamsha Avenue,"6,032,000 EGP","Residential, Apartment",3,0,171.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MAA22B Floor 1 Unit MAA22B14 Mamsha Avenue New Administrative Capital Cairo Cairo Egypt,"Mamsha Avenue is the premier residence created for those looking for an elevated lifestyle and special community experience. It is the place where you can treat your eyes and soul to splendid views of land-spaces and greenery. Mamsha Avenue brings you the most eminent residential units, office spaces, restaurants, cafes and medical facilities… all together."
BEGONIA,"8,606,000 EGP","Residential, Apartment",3,3,148.0,2025,"['Other', 'Gate Community']",New Cairo,Cairo,Building Building 06 Floor 4 Unit MB0644 BEGONIA New Cairo Cairo Egypt,"At Begonia, your location is a catalyst for your growth and balance. Strategically centered in the heart of New Cairo, Begonia enjoys seamless connectivity to the city, ensuring you’ll find everything you need within easy reach, while still enjoying a peaceful retreat. Major thoroughfares like Gamal Abd El Nasser Axis, Al Gezira Axis, and Mohamed Naguib Axis are mere moments away, granting you effortless access to New Cairo’s key destinations SIMPLY HOME Over 80% of our compound, is dedicated to greenery, ensuring that every resident has access to nature’s tranquility right at their doorstep. Our serene water features, add to the aesthetic appeal and provide calming spaces for relaxation and leisure. Our Homes are designed along with Modern Amenities Our residential area, occupying 20% of the compound. All units have premium landscape view."
Zahya,"18,503,000 EGP","Residential, Villa",5,0,773.7,2024,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZH3M103 Unit ZH3M103 Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
T- Residences,"2,617,915 EGP","Residential, Apartment",3,1,120.0,2024,"['24 Hour Security', 'Electricity Available', 'Natural Gas Available']",North Coast,Matrouh,Building C-11 Floor Ground Unit 2 T- Residences North Coast  Matrouh Egypt,"""Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."""
Alamain (Latin District),"10,635,000 EGP","Residential, Apartment",4,3,197.18,2025,"['Other', 'Security Gate', 'Electricity Available', 'Water Available']",North Coast,Alexandria,Building F07 Floor 07 Unit Z02-CL05-F07-M7-07-10 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
T- Residences,"2,718,604 EGP","Residential, Apartment",3,1,120.0,2024,"['24 Hour Security', 'Electricity Available']",North Coast,Matrouh,Building C-4 Floor 3rd Unit 33 T- Residences North Coast  Matrouh Egypt,"Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."
Jade Park,"9,302,000 EGP","Residential, Apartment",4,2,225.0,2025,"['Lobby', 'Secured Garage/Parking', 'Water Available']",New Administrative Capital,Cairo,Building 3L Floor 6th floor Unit JP3L64 Jade Park New Administrative Capital Cairo Cairo Egypt,"Welcome to Al Maqsad, your future destination in the heart of the New Capital. Set to be a prominent address in Egypt’s most sought-after location, Al Maqsad promises a full-fledge of vantages, including unique architectural designs with premium exterior and interior finishing, and a charming landscape with horizons of greenery and tree-lined pathways between every home. Its strategic proximity to the New Capital’s cultural city, smart city and sports city, as well as the Canadian and European university offers unmatched luxury, making it a future address for those who appreciate distinguished ways of living."
AlMaqsad Park,"5,071,000 EGP","Residential, Apartment",3,2,156.0,2025,"['Other', 'Building Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MPE13 Floor 3 Unit MPE1333 AlMaqsad Park New Administrative Capital Cairo Cairo Egypt,"Carefully designed to maximize life within nature, AlMaqsad Parks provides unparalleled relaxation for those seeking added privacy amidst lush landscapes. With exceptional spaces to live in, expansive views of greenery, and inspiring amenities all around, discover your own tranquil home in the heart of The New Capital at AlMaqsad Parks."
T- Residences,"2,945,154 EGP","Residential, Apartment",3,1,130.0,2024,"['24 Hour Security', 'Electricity Available', 'Natural Gas Available']",North Coast,Matrouh,Building C-10 Floor 1 Unit 11 T- Residences North Coast  Matrouh Egypt,"""Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."""
PODIA,"12,182,000 EGP","Commercial, Office",0,0,91.5,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor 10 Unit MPO-1004-A Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
Alamain (Latin District),"11,066,000 EGP","Residential, Apartment",3,3,215.9,2025,"['24 Hour Security', 'Building Security', 'Fire Escape', 'Security Gate', 'Cable Available', 'Electricity Available', 'Natural Gas Available', 'Phone Available', 'Sewer Available', 'Water Available']",North Coast,Matrouh,Building A06 Floor 7 Unit Z03-CL05-A06-M7-07-02 Alamain (Latin District) North Coast  Matrouh Egypt,The Future Is Present
New Garden City,"11,471,000 EGP","Residential, Apartment",3,1,282.0,2025,"['Gate Community', 'Natural Gas Available']",New Administrative Capital,Cairo,Building G883 Floor 4th floor Unit G88344 New Garden City New Administrative Capital Cairo Cairo Egypt,"To live in a world, where you can see and sense the real ambience of the old Khedival Cairo, is a priceless notion that you aspire for. In New Garden City, surrounded by the acclaimed history.  Garden City Heights is made up of apartments only and we built each cluster with two basement floors, solely for parking. This, ideally, makes New Garden City elevated, offering stunning views. That is in addition to residential-only clusters that are high up from surrounding street levels, . Such designs provide the maximal magnitude of privacy and luxury. It is ideally built in one of the most prime locations it is in the first phase of The New Administrative Capital. It is located between the Middle Ring Road and the Regional Ring Road on the 90th road south from Ben Zayed Southern Axis, a few minutes away from the monorail project, making transportation easier to and more accessible."
T- Residences,"2,668,259 EGP","Residential, Apartment",3,1,120.0,2024,"['24 Hour Security', 'Electricity Available']",North Coast,Matrouh,Building C-3 Floor 5th Unit 52 T- Residences North Coast  Matrouh Egypt,"Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."
T- Residences,"2,945,154 EGP","Residential, Apartment",3,1,130.0,2024,"['24 Hour Security', 'Electricity Available', 'Natural Gas Available']",North Coast,Matrouh,Building C-10 Floor 6 Unit 61 T- Residences North Coast  Matrouh Egypt,"""Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."""
Podia Plaza – Commercial for Sale,"45,467,000 EGP","Commercial, Retail",0,0,132.5,2025,"['Other', '24 Hour Security', 'Fire Alarm', 'Gate Community']",Cairo,Cairo,Floor Ground floor Unit MPR-0079 Bin ZayedNorth PODIA Cairo Cairo Egypt,"Launched by Menassat Developments in cooperation with the engineering consultant Pinnacle Egypt, Podia Tower is one of the tallest commercial, administrative and medical towers at Downtown New Capital (Touristic District), occupying a total area of 19,782 meters and encompassing 25 floors, 3 basements and a ground floor.Podia Tower is located directly on the northern axis of Mohammed Bin Zayed, in close proximity to the Central Business District and only a few minutes away from Al Massa Hotel. To the northeast of the tower are the Ministry Quarter, Parliament Building and government agencies & institutions. The tower is also privileged with views of the Green River and the Central Park. From the south, Podia Tower enjoys a full panoramic view of the Embassies neighborhood."
Blu Vert,"8,765,000 EGP","Residential, Apartment",1,0,164.82,2025,"['Other', 'Gate Community', 'Electricity Available']",New Administrative Capital,Cairo,Building F29 Floor G Unit F2902 Blu Vert New Administrative Capital New Cairo Cairo Egypt,"Bleu Vert Compound Project – One of the developments by the Saudi Egyptian Construction Company, spanning an area of 70 acres in the heart of the New Administrative Capital.The project directly overlooks Bin Zayed Axis and is just minutes away from the Opera House, as well as the Financial District and the Ministries District. The development includes 208 villas in various styles (twin houses and townhouses), along with 50 buildings, each consisting of a ground floor and 7 repeated upper floors. These buildings offer residential apartments in various sizes to meet all needs, with all units delivered fully finished.The project features a full range of commercial and recreational services, distinguished by a unique and modern approach tailored to the company's clientele, in addition to the project's competitive pricing."
T- Residences,"2,668,259 EGP","Residential, Apartment",3,1,120.0,2024,"['24 Hour Security', 'Electricity Available', 'Natural Gas Available']",North Coast,Matrouh,Building C-12 Floor 6 Unit 62 T- Residences North Coast  Matrouh Egypt,"""Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."""
Alamain (Latin District),"3,226,000 EGP","Residential, Apartment",1,0,94.61,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building D15 Floor 7 Unit Z02-CL07-D15-X7-07-07 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Downtown commercial,"20,540,000 EGP","Commercial, Retail",0,0,200.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT01 Floor Ground floor Unit DTRG0130 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Alamain (Latin District),"6,512,000 EGP","Residential, Apartment",4,0,213.53,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building C06 Floor 1 Unit Z05-CL11-C06-M7-01-02 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
New Garden City,"6,956,000 EGP","Residential, Apartment",2,0,166.0,2025,"['Gate Community', 'Natural Gas Available']",New Administrative Capital,Cairo,Building G645 Floor 7th floor Unit G64576 New Garden City New Administrative Capital Cairo Cairo Egypt,"To live in a world, where you can see and sense the real ambience of the old Khedival Cairo, is a priceless notion that you aspire for. In New Garden City, surrounded by the acclaimed history.  Garden City Heights is made up of apartments only and we built each cluster with two basement floors, solely for parking. This, ideally, makes New Garden City elevated, offering stunning views. That is in addition to residential-only clusters that are high up from surrounding street levels, . Such designs provide the maximal magnitude of privacy and luxury. It is ideally built in one of the most prime locations it is in the first phase of The New Administrative Capital. It is located between the Middle Ring Road and the Regional Ring Road on the 90th road south from Ben Zayed Southern Axis, a few minutes away from the monorail project, making transportation easier to and more accessible."
Downtown commercial,"15,713,000 EGP","Commercial, Retail",0,0,173.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT14 Floor Ground floor Unit DTRG1406 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
BEGONIA,"16,849,000 EGP","Residential, Duplex",4,3,246.0,2025,"['Other', 'Gate Community']",New Cairo,Cairo,Building Building 07 Floor 1 Unit MB0714 BEGONIA New Cairo Cairo Egypt,"At Begonia, your location is a catalyst for your growth and balance. Strategically centered in the heart of New Cairo, Begonia enjoys seamless connectivity to the city, ensuring you’ll find everything you need within easy reach, while still enjoying a peaceful retreat. Major thoroughfares like Gamal Abd El Nasser Axis, Al Gezira Axis, and Mohamed Naguib Axis are mere moments away, granting you effortless access to New Cairo’s key destinations SIMPLY HOME Over 80% of our compound, is dedicated to greenery, ensuring that every resident has access to nature’s tranquility right at their doorstep. Our serene water features, add to the aesthetic appeal and provide calming spaces for relaxation and leisure. Our Homes are designed along with Modern Amenities Our residential area, occupying 20% of the compound. All units have premium landscape view."
T- Residences,"2,945,154 EGP","Residential, Apartment",3,1,130.0,2024,"['24 Hour Security', 'Electricity Available', 'Natural Gas Available']",North Coast,Matrouh,Building C-12 Floor 4 Unit 44 T- Residences North Coast  Matrouh Egypt,"""Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."""
Zahya,"11,400,000 EGP","Residential, Twinhouse",3,0,328.0,2024,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZH1C325B Floor Ground floor Unit ZH1C325B Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
Mamsha Avenue,"12,147,000 EGP","Residential, Apartment",4,0,390.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MAA15A Floor 5 Unit MAA15A52 Mamsha Avenue New Administrative Capital Cairo Cairo Egypt,"Mamsha Avenue is the premier residence created for those looking for an elevated lifestyle and special community experience. It is the place where you can treat your eyes and soul to splendid views of land-spaces and greenery. Mamsha Avenue brings you the most eminent residential units, office spaces, restaurants, cafes and medical facilities… all together."
Alamain (Latin District),"7,419,000 EGP","Residential, Apartment",4,2,231.94,2025,"['Other', 'Security Gate', 'Electricity Available', 'Water Available']",North Coast,Alexandria,Building A12 Floor 1 Unit Z05-CL11-A12-X7-01-03 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Alamain (Latin District),"11,852,000 EGP","Residential, Apartment",3,3,214.59,2025,"['24 Hour Security', 'Building Security', 'Fire Escape', 'Security Gate', 'Cable Available', 'Electricity Available', 'Natural Gas Available', 'Phone Available', 'Sewer Available', 'Water Available']",North Coast,Matrouh,Building E02 Floor 7 Unit Z03-CL05-E02-X7-07-01 Alamain (Latin District) North Coast  Matrouh Egypt,The Future Is Present
Mazarine Commercial,"16,994,000 EGP","Commercial, Retail",0,0,168.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building MZSPC4 Floor 1 Unit MZSPC412 Mazarine Commercial Mersa Matruh (k) Matrouh Egypt,"Nestled in Egypt’s flourishing Mazarine, Mazarine Sapphire Commercial offers the lively blend of modernity, luxury, charm and culture. The project merges various elements of style, offerings and surroundings, using vibrant techniques to outline the high standards for contemporary delight. The luxury district comes in 60 shops for light F&B being top-notch, as well as dashing retail stores. All shops are set across buildings, where each includes three shops on the ground floor, in addition to another three on the first floor. With a separate entryway from the rest of the residential building, Mazarine Sapphire Commercial is designed to grant the maximum privacy in an ideally positioned area that satisfies and guarantees appeal to business owners and visitors."
Jade Park,"12,166,000 EGP","Residential, Apartment",4,2,315.0,2025,"['Lobby', 'Secured Garage/Parking', 'Water Available']",New Administrative Capital,Cairo,Building 2R Floor 3th floor Unit JP2R32 Jade Park New Administrative Capital Cairo Cairo Egypt,"Welcome to Al Maqsad, your future destination in the heart of the New Capital. Set to be a prominent address in Egypt’s most sought-after location, Al Maqsad promises a full-fledge of vantages, including unique architectural designs with premium exterior and interior finishing, and a charming landscape with horizons of greenery and tree-lined pathways between every home. Its strategic proximity to the New Capital’s cultural city, smart city and sports city, as well as the Canadian and European university offers unmatched luxury, making it a future address for those who appreciate distinguished ways of living."
Zahya,"25,973,000 EGP","Residential, Villa",5,0,740.0,2025,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZH80 Floor Ground Unit ZH4C80 Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
Jade Park,"11,407,000 EGP","Residential, Apartment",4,2,319.0,2025,"['Lobby', 'Secured Garage/Parking', 'Water Available']",New Administrative Capital,Cairo,Building 1L Floor 3rd floor Unit JP1L33 Jade Park New Administrative Capital Cairo Cairo Egypt,"Welcome to Al Maqsad, your future destination in the heart of the New Capital. Set to be a prominent address in Egypt’s most sought-after location, Al Maqsad promises a full-fledge of vantages, including unique architectural designs with premium exterior and interior finishing, and a charming landscape with horizons of greenery and tree-lined pathways between every home. Its strategic proximity to the New Capital’s cultural city, smart city and sports city, as well as the Canadian and European university offers unmatched luxury, making it a future address for those who appreciate distinguished ways of living."
Alamain (Latin District),"3,008,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building E02 Floor 6 Unit Z03-CL05-E02-X7-06-05 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
BEGONIA,"6,465,000 EGP","Residential, Apartment",2,2,108.0,2025,"['Other', 'Gate Community']",New Cairo,Cairo,Building Building 05 Floor 4 Unit MB0547 BEGONIA New Cairo Cairo Egypt,"At Begonia, your location is a catalyst for your growth and balance. Strategically centered in the heart of New Cairo, Begonia enjoys seamless connectivity to the city, ensuring you’ll find everything you need within easy reach, while still enjoying a peaceful retreat. Major thoroughfares like Gamal Abd El Nasser Axis, Al Gezira Axis, and Mohamed Naguib Axis are mere moments away, granting you effortless access to New Cairo’s key destinations SIMPLY HOME Over 80% of our compound, is dedicated to greenery, ensuring that every resident has access to nature’s tranquility right at their doorstep. Our serene water features, add to the aesthetic appeal and provide calming spaces for relaxation and leisure. Our Homes are designed along with Modern Amenities Our residential area, occupying 20% of the compound. All units have premium landscape view."
Alamain (Latin District),"6,490,000 EGP","Residential, Apartment",1,0,92.86,2025,"['Other', 'Security Gate', 'Electricity Available']",North Coast,Alexandria,Building E02 Floor 4 Unit Z03-CL05-E02-X7-04-01 Alamain (Latin District) North Coast  Alexandria Egypt,"Latini by Saudi Egyptian Developers (SED) – New AlameinIl Latini is a distinguished residential project by Saudi Egyptian Developers (SED), located in the heart of New Alamein City. Inspired by classical European architecture, the development combines timeless elegance with modern living standards.The project features a wide selection of fully finished apartments and studios, designed to suit various lifestyles. Each unit reflects attention to detail, quality materials, and a sophisticated aesthetic.Strategically positioned near key landmarks such as the Downtown area, the university district, and the North Coast towers, Il Latini offers residents a vibrant community experience with easy access to everything they need.Whether you're looking for a holiday retreat or a smart investment opportunity, Il Latini delivers comfort, class, and convenience—all in one address."
Downtown commercial,"19,545,000 EGP","Commercial, Retail",0,0,221.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",Mersa Matruh,Matrouh,Building DT01 Floor Ground floor Unit DTRG0135 Downtown commercial Mersa Matruh (k) Matrouh Egypt,"Designed to be an integrated residential and commercial hub, Downtown shapes up to be a homeowner’s dream of a complete community that holds a prominent location, unique architectural design, all essential and complimentary services and amenities, promoting a luxurious lifestyle."
Mamsha Avenue,"12,091,000 EGP","Residential, Apartment",4,0,392.0,2025,"['Other', '24 Hour Security', 'Electricity Available']",New Administrative Capital,Cairo,Building MAA21B Floor 5 Unit MAA21B53 Mamsha Avenue New Administrative Capital Cairo Cairo Egypt,"Mamsha Avenue is the premier residence created for those looking for an elevated lifestyle and special community experience. It is the place where you can treat your eyes and soul to splendid views of land-spaces and greenery. Mamsha Avenue brings you the most eminent residential units, office spaces, restaurants, cafes and medical facilities… all together."
Zahya,"11,541,000 EGP","Residential, Twinhouse",3,2,345.0,2025,"['Lobby', '24 Hour Security', 'Electricity Available']",Mansoura,Dakahlia,Building ZH1C321A Floor Ground floor Unit ZH1C321A Zahya Mansoura (m) Dakahlia Egypt,"As the pioneering real estate company building a residential project in New Mansoura City, we are excited to see the future come to life with a project bound to flourish amidst the promising new capital of the Delta. With a vow of a new future equipped with technological advancements, trade, commercial and retail opportunities ZAHYA will only provide more clarity for the vision of this new city by housing its residents in homes that provide complete living experiences."
Alamain (Latin District),"10,761,000 EGP","Residential, Apartment",3,3,212.03,2025,"['24 Hour Security', 'Building Security', 'Fire Escape', 'Security Gate', 'Cable Available', 'Electricity Available', 'Natural Gas Available', 'Phone Available', 'Sewer Available', 'Water Available']",North Coast,Matrouh,Building E06 Floor 1 Unit Z03-CL05-E06-M7-01-01 Alamain (Latin District) North Coast  Matrouh Egypt,The Future Is Present
T- Residences,"3,013,119 EGP","Residential, Apartment",3,1,133.0,2024,"['24 Hour Security', 'Electricity Available', 'Natural Gas Available']",North Coast,Matrouh,Building C-12 Floor 5 Unit 54 T- Residences North Coast  Matrouh Egypt,"""Torec Developments is a subsidiary of the New Urban Communities Authority, launches its first project on the North Coast.Fully finished apartment in El Alamein City, next to Golf Porto.Reservations are now open at the initial offering prices."""
